Question,Option_A,Option_B,Option_C,Option_D,Answer
"What function of the living matter of the biosphere - chemical elements with variable valence - ensures the circulation of iron, sulfur, manganese, nitrogen and others.",Biochemical functions,Concentration function,Oxidation recovery function,Gas exchange function,C
"What function of living matter in the biosphere is that living organisms carry out the processes of nutrition, respiration, reproduction, decomposition after death and decomposition during life.",Concentration function,Gas exchange function,Redox function,Biochemical functions,D
Define the concepts of the biosphere: 1-concept of biogeocenotype 2-biogeochemical concept of the biosphere 3-cybernetic concept of the biosphere 4-socio-economic concept of the biosphere,"2,3,4","1,2,3","1,2,3,4","1,3,4",C
"What concept of biosphere is associated with biogeocenosis, consisting of living organisms with different types of metabolism.",Cybernetic concept of the biosphere,Socio-economic concept of the biosphere,Concept of biogeocenotype,Biogeochemical concept of the biosphere,C
What idea of the biosphere is associated with complex changes occurring in living organisms due to chemical energy accumulated during the process of photosynthesis.,Biogeochemical concept of the biosphere.,Socio-economic concept of the biosphere,Biogeocenotype concept,Cybernetic concept of the biosphere,A
"What concept of the biosphere studies the principles of organization and control of processes associated with the transformation of matter, energy and information in living nature.",Cybernetic concept of the biosphere.,Biogeochemical concept of the biosphere,Biogeocenotype concept,Socio-economic concept of the biosphere,A
What is the sum of living organisms that live in a certain geographic area called?,Biosphere,Biotope,Biocenosis,Biogeocenosis,C
A system that includes a community of living organisms and a closely related set of abiotic environmental factors within one territory,Biosphere,Biocenosis,Biotope,Biogeocenosis,D
Each biogeocenosis consists of living and nonliving components: 1 - plants; 2 - animals; 3 - microorganisms; 4 - soil and groundwater; 5 - atmosphere,"1,2,3","1,2,3,4","1,2,3,4,5","1,2,3,5",C
What is the main task of the science of noogenics?,only protection,"development of measures to create new types of microorganisms, plants and animals",increase the diversity of life forms on Earth,- this is the correction of violations in the relationship between man and nature that have arisen as a result of technological progress.,D
What science is developing measures to prevent the occurrence of environmental crises in the context of constant scientific and technological progress?,Genetics,Ecology,Anthropoecology,Noogenics,D
"What measures need to be taken to protect the biosphere? 1- Establishment of the use of solar energy, wind energy, kinetic energy of the oceans, hot water groundwater 2- Full use of extracted natural resources 3- Recycling of industrial waste 4- Introduction of waste-free technology 5- Determination of radioactive substances","1,2,4,5","2,3,4,5","1,2,3,5","1,2,3,4",D
How many species are included in the phylum Protozoa?,About 4000 species,"About 30,000 species",About 3000 species,"About 40,000 species",B
What is the Latin name for hollow (hollow)?,Chordata,Coelenterata,Platelmints,Echinoderms,B
What is the Latin name for flatworms?,Plat g elminty,Coelenterata,Chordata,Echinoderms,A
What is the Latin name for roundworm?,Nemathelminlhes,Annelids,Arthropods,Coelenterata,A
What is the Latin name for the ringworm?,Arthropods,Annelids,Nematgelminly,Echinoderms,B
What is the Latin name for arthropods?,Coelenterata,Arthropoda,Echinoderms,Chordata,B
"Clams, mark the Latin name for shellfish?",Chordata,Mollusca,Nematgelminly,Platelmints,B
What is the Latin name for echinoderms?,Echinodermata,Platelmints,Annelids,Nematgelminly,A
Specify the Latin name of chordates,Coelenterata,Annelids,Nematgelminly,Chordata,D
Indicate the Latin name of the protozoa,Nematgelminly,Annelids,protozoa,Coelenterata,C
What are the organelles of movement in a simple animal type?,"Eyelashes, walking legs","Flagella, walking legs","Overhead legs, fasteners","Psepododes, cilia, villi",D
What substances make up the shell of most species of simple animals?,Carbohydrates and fats,Proteins and carbohydrates,Proteins and fats (lipoproteins),Just protein,C
"In most species of simple animals, the body membrane consists of proteins and fats (lipoproteins), what is this called?",Cellulose,Pellicle,Cuticle,Pectin,B
What functions does the thick cuticle perform?,Energy production,Metabolism,Protection and basic function,Oxygen transport,C
How many nuclei are there in a ciliate?,2 nuclei: large vegetative nucleus - macronucleus and small generative nucleus - micronucleus,"2 nuclei: vegetative nucleus, digestive nucleus",2 cores: large and extra large core,2 nuclei: contractile nucleus and aggregating nucleus,A
What groups are simple animals divided into depending on the type of assimilation and method of feeding?,"Phototrophic, chemotrophic organisms",heterotrophic and mixotrophic organisms,"Saprophytes, parasitic organisms","Autotrophic, mixotrophic organisms",B
Heterotrophic organisms are divided into two groups:,"Saprophyte, parasite","Autotroph, mixotroph","Phototrophic, chemotrophic","Saprophyte, heterotroph",A
What are those who live off a living organism called?,Phototroph lar,Chemotrophs,Saprophytes,Parasites,D
What are those that feed on dead organic matter called?,Phototroph lar,Saprophytes,Chemotrophs,Parasites,B
What organisms are animals with both autotrophic and heterotrophic types of assimilation?,Phototroph,Chemotroph,Autotroph,Mixotroph s,D
"What organisms absorb schizogony carbon dioxide, water, mineral salts from the external environment and feed like green plants.",Mixotroph,Autotroph,Chemotroph,Phototroph,B
"What type of reproduction is a separate type of asexual reproduction, that is, multiple reproduction.",Meiosis,Divide into 2 simple ones,Schizogony,the rescue,C
What class of protozoa is capable of reproducing through schizogony?,Class of birds,Class Sporozoa,Type of chordates,Insect class,B
Show class representatives dispute?,"Malarial plasmodium, tryponosoma","Malarial plasmodium, toxoplasma","Tryponosoma, leishmaniasis","Giardia, toxoplasmosis",B
How many species of flagellates?,More than 2000 species,More than 3000 species,More than 200 species,More than 300 types,D
Find the Latin name for flagella.,Sporozoa,Ciliates (Ciliates),Sarcodina,Flagellata,D
Find the Latin name for sarcoids.,Sarcodina,Flagellates,Sporozoa,Ciliates (Ciliates),A
Find the Latin name for Sporozoans,Flagellates,Ciliates (Ciliates),Sporozoa,Sarcodina,C
Find the Latin name of the ciliate.,Flagellates,Sarcodina,Sporozoa,Infuzoria,D
What types of trypanosomes are well studied? 1) The causative agent of African sleeping sickness is Trypanosoma gambiense 2) The causative agent of Chagas disease is Trypanosoma cruzi. 3) Leishmania tropica 4) Leishmania donovani,1.2,"1,2,4","1,2,3","1,2,3,4",A
Identify the causative agent of African sleeping sickness?,Trypanosoma cruzi,Leishmania tropica,Leishmania donovani,Trypanosoma gambiense,D
Determine the cause of Chagas disease?,Trypanosoma gambiense,Leishmania tropica,Leishmania donovani,Trypanosoma cruzi,D
Which type of trypanosome is the parasite that causes the very serious sleeping sickness common in Africa?,Leishmania tropica,Trypanosoma gambiense,Leishmania donovani,Trypanosoma cruzi,B
"What type of disease causes severe damage to the central nervous system? There are times when the patient falls asleep or vice versa. If the disease is not treated promptly, it can be fatal.",Trypanosoma cruzi,Leishmania donovani,Trypanosoma gambiense,Leishmania tropica,C
"In what disease do parasites enter the patient’s blood, lymph nodes, and then into the cerebrospinal fluid?",Leishmania donovani,Trypanosoma gambiense,Leishmania tropica,Trypanosoma cruzi,B
How does trypanosome move?,As a result of vibration of the curtain with the hive and lengthening and contraction of the body,As a result of vibration of the curtain and bending of the body with false legs,As a result of vibration of the undulating membrane,As a result of the vibration of the curtain by the eyelashes and the bending of the body,C
"Which flagellates reproduce by dividing in height; reproduction begins with the blepharoplast and ends with the division of the nucleus and, finally, the protoplasm.",Trypanosoma,Intestinal Giardia,Trichomonas,Leishmania,A
"The natural source of African sleeping sickness is gazelles, and what organism is its transmitter?","Mosquitoes, cat sucker liverworts",Fly Tse - tse (Glossina palpalis),"Human lice, human roundworms","Bent head worm, schistosomiasis",B
In which countries is the causative agent of the dangerous Chagas disease Trypanosoma cruzi widespread?,Beyond Central Asia and the Caucasus,South Africa and Central Asia,In Latin American countries,Central Asia and America,C
Identify the spreader of Chagas disease?,Leishmania donovani,Trypanosoma cruzi,Leishmania tropica,Triatom contamination,D
In which member of the chains do trypanosomes live and develop there for 5-15 days?,In the back of the intestine,In the liver,In heart,In the stomach,A
"What organisms attack a person mainly during sleep at night, feeding, sucking blood from the mucous membranes of the lips, eyes and nose.",Triatoma infestans,Leishmania donovani,Trypanosoma cruzi,Leishmania tropica,A
"Triatoma infestans mainly attacks humans when they are sleeping at night, from which parts of humans do they mainly suck blood?","Mucous layer of lips, eyes, nose","Eye, brain, kidneys","Laboratory, intestines, stomach","Mucous membrane of the nose, stomach, intestines",A
"Signs of which disease are the following symptoms: fever, enlarged liver and spleen, impaired intestinal function, which may be accompanied by meningoencephalitis and myocarditis.",Penda rana,Ashgabat wound,Chagas disease,Sleeping sickness,C
At what age can Chagas disease become so severe in children that it can even be fatal?,Up to 5 years,Up to 12 years,Under 18 years old,Up to 8 years,A
"Determine the modes of transmission of Chagas disease? 1- from mother to child through breast milk, 2- blood transfusion, 3- congenital, 4- acquired","2,3,4","1,3,4","1,2,4","1,2,3",D
"According to some data, how many patients die from Chagas disease.",44% each,24% each,34% each,14% each,D
What animals spread Chagas disease?,"Various rodents, predators, monkeys","Predators, beetles, bugs","Various rodents, beetles, caterpillars","Monkeys, beetles, reptiles",A
In populated areas where animals are carriers of Chagas disease.,Cats and sheep,Pigs and goats,Dogs and cats,Dogs and camels,C
What type of leishmaniasis parasitizes humans?,Lamblia intenstinalis and Leishmania donovani,Leishmania tropica and Leishmania donovani,Trypanosoma cruzi and Leishmania donovani,Trypanosoma gambiense and Leishmania donovani,B
In which countries is cutaneous leishmaniasis common?,Central Asia and South Korea,South America and Africa,In Central Asia and the Caucasus,Antarctica and Northern Australia,C
Leismania tropica - Who discovered the causative agent of cutaneous leishmaniasis?,V.A. Dogel In 1898,P.F. Borovsky in 1898,V.N. Beklemishev In 1898,K.I. Scriabin in 1898,B
"What is the urban or chronic form of cutaneous leishmaniasis, which lasts a year or more?",Chagas disease,Sleeping sickness,Penda rana,Ashgabat ulcer,D
What acute form of cutaneous leishmaniasis lasts 3-6 months?,Penda's ulcer,Sleeping sickness,Chagas disease,Ashgabat wound,A
Who first described Lamblia?,In 1859 V.A. Dogel,In 1869 K.I. Scriabin,In 1859 D. F. Lambl,In 1869 E. N. Pavlovsky,C
In which human organs can intestinal Giardia parasites live?,"In the stomach, in the back of the intestine","In the heart, in the gallbladder","In the duodenum, gall bladder","In the liver, in the gall bladder",C
What is the top layer of mammalian skin called?,Tillacoid,Turbellaria,Tegument,Tremotodes,C
How does the reproductive system of mammals work?,Hermaphrodite,generative,Asexual reproduction,vegetative,A
What causes miracidium to develop?,Larva,Sporosistadan,From eggs,From a zygote,C
What is heredity?,Eyelash larvae,Sercaria,Tailed larva,Tailless larva,A
"Opisthorshis felineus grows in its developmental cycle into the miracidal bithinium tissue, and what does it produce?",Sercaria,Adult organism,Redia,Sporo tsista,D
What is formed from embryonic sporocyst cells in the development cycle of Opisthorchis felineus?,Adult organism,Sporista,Redia,Miracidium,C
What is the post-radiation period of development of the liverworm larva?,Adult organism,Miracidium,Sporista,Tserkariya _,D
What is the name of the process of a liverworm larva emerging from the tail and wrapping it in a membrane?,Blastocoel,Adolescaria,Miracidium,Sercaria,B
Who is the scientist who promoted the science of eugenics?,Filipchenko,Chargaff,Koltsov,Galton,D
What method was Galton first to establish?,Twins,Biochemical,Genetic,Cytogenetic,A
Which scientist divided chromosomes into 7 groups based on the size and location of the centromere?,Edwards,Patau,Cermak,Frieze,B
"According to the Patau classification, which group includes acrocentric and satellite chromosomes of medium size?",Group G (21-22),Group E (13-15),Group D (13-15),Group A (1-3),C
Which of the fourth autosomes in a human karyotype will have a satellite part on the small arm?,"In autosomes 13,14,15,16,17","In autosomes 13,14,15,21,22","In 16,17,18,22,23-autosomes","In autosomes 13,15,16,20,21",B
"Patau divides human chromosomes into 7 groups, and which group of chromosomes is the smallest metacentric?",19-20 (group F),16-18 (group K),17-18 (Group E),19-20 (Group G),A
Who introduced the term biology into science?,Virchow,T. Morgan,"Lamarck, Treviranus",K. Lynn to her,C
Who is the founder of the twin method?,Ge de Frieze,Chermak K,Virchow A,Galton F,D
Is this karyokinesis?,Nuclear fission,Ribosome division,Cytoplasmic division,Mitochondrial division,A
How many types of gastrulation are there and what are they?,"3: biological, morphological, physiological","4: immigration epiboly, deletion, dissection","3: apostasy, reproduction, division","4: intussusception, epiboly, immigration, delamination",D
What class does schistosome belong to?,flagellum _,flukes,Spores _,Lent Etsy,B
How does a pork tapeworm develop without laying eggs?,Autoinvasion,Taeniasis,reinfestation,Paragonimiasis,A
What disease is caused by tapeworm?,Teniarin oz _,Diphyllobothriasis,ts erkariya,Auto invasion,B
Lice genus name,Aphanipterans,Ogonata,Diptera,Anoplura,D
What type of reproduction is toxoplasmosis?,Genital,spore,Asexual endogony,Asexual schizogony,C
What is a proband?,Healthy man at doctor's appointment,Patient visiting a doctor,The person for whom the pedigree is compiled,Relative,C
Deletion is -,Increase or decrease in the number of chromosomes,Chromosome-mediated gene reproduction,Loss of part of a chromosome due to a break in 1 or 2 chromosomes,Changes in genes in chromosomes,C
What is not observed during interkinesis?,DNA is not formed,The nucleus and nucleoli are formed,DNA and P NK 2 contribute,DNA does not double,D
What is the last period of prophase 1?,Pa x itena,Leptotene,Diakinesis,Zygote,C
What is the name of the deletion resulting from two interruptions?,Isochromatid deletion,Interstitial deletion,inversion,translocation,B
What is the body of bream covered with ?,Cuticle,Soft skin,pelicula,scales,A
What does the mouthparts of insects that feed on parasites look like?,Sucker,piercing-sucking,Rodent,sucking,B
What are the names of the oral appendages of arachnids and some other arthropods?,Hypostome,Xelicera,licking,palpation,B
Where is the method of asexual reproduction indicated?,"Endogony, plasmogony , oogony","Reproduction by endogony, sporogony, zygote","Endogony, plasmogony, sporogony","Endogony, sporogony",D
What organisms undergo artificial partonogenesis.,Mammals and birds,"Molluscs, nematodes, echinoderms","Slugs, reptiles, birds","Worms, scorpions, fish",B
"During this reproduction, the egg nucleus is lost while the sperm nucleus is retained.",Androgenesis,Sporogony,Oogonia,Gynogenesis,A
What is the method of cell proliferation during repeated nuclear division?,mitosis,Sporogony _ _,Schizogony,Endogony,C
How do malarial plasmodia and toxoplasma reproduce?,Conjugation,Sporogony,Mitosis,Copulation,B
What substance stops cell division in metaphase?,Myolin,Water,Colchicine,Heparin,C
What is at the end of a chromosome?,Satellite chromosome,centromere,Telomere,Core,C
In what year was the international taxonomy of chromosomes developed?,1987,1970,1997,1960,D
What is formed from the nucleoprotein complex formed by chromatin-containing DNA nucleohistones and parts together?,Hetero and euchromatin,Chromatid and chromosome,Chromatid and chromonema,Mono and polychromatin,A
How long does the prophase phase last?,10-100 min.,9-30 min.,4-25 min,6-40 min,A
"Indicate the properties of the prophase period 1. Chromosomes of bichromatids twist in a spiral, do not shorten or thicken, 2. The nuclear envelope and nucleus dissolve, 3. Mitotic threads begin to form.","1,2,3",1.3,2.3,1.2,C
How long does the metaphase phase last?,4-25 min,9-30 min.,6-40 min.,10-100 min.,C
Determine the characteristics of the metaphase period. 1. Chromosomes of bichromatids move along the equator of the cell 2. mitotic threads are attached to the centromeres of chromosome 3. 2n2c,2.3,"1,2,3",1.2,1.3,C
How long does the anaphase phase last?,4-25 min.,9-30 min.,6-40 min,10-100 min.,A
"Determine the characteristics of the anaphase period. 1. Centromeres divide, 2. Chromatids (daughter chromosomes) divide by dividing mitotic chains at the poles of the cell, 3. 2 n 4 c , 4. Each pole has as many chromosomes as the mother cell has.","1,2,4",1.3,"1,3,4","1,2,3",A
How long does telophase last?,9-30 min.,10-100 min.,6-40 min,4-25 min,A
"What is the biological significance of mitosis? 1- During mitosis, two daughter cells (2n2c) are formed from a mother cell (2n4c), 2- Each daughter cell has a chromosome similar to the mother cell , 3- Mitosis ensures an even distribution of genetic material",1.2,1.3,2.3,"1,2,3",D
Determine the method of reproduction characteristic of bacteria and ciliates?,Ovogonia,conjugation,Copulation,Schizogony,B
How many types of gametogamy are there in copulation?,"3 types: isogamy, polygamy and ugamy",Type 2: isogamy and heterogamy,"3 types: isogamy, heterogamy and oogamy",Type 2: isogamy and polygamy,C
Who was the first to use artificial parthenogenesis in rearing silkworms?,Nicholson (1972),A.D. Tikhomirov (1885).,A. Astaurov (1937),Flemming (1842),B
Who invented the method of reproduction by androgenesis?,Boveri (in 1842),Singer (1972),A. Astaurov (1937),HELL. Tikhomirov (1885).,C
What are the periods of prophase 1?,"Liptotene, zygotene, paxiten, interkinesis","Liptotene, zygotene, diplotene, diakinesis","Leptotene, zygotene, pachytene, diplotene, diakinesis","Liptotene, zygotene, pachytene, diplotene, interkinesis, diakinesis",C
"At what stage of prophase I do the chromosome strands, which are actually made up of two chromatids, form thin strands. As the chromosome thickens and curls, threads begin to appear in the chromatin and the chromomeres become more pronounced.",Zygote,Diplotena,Pachytena,Leptotene a,D
What is the basis of biological evolution?,natural selection,Fight for survival,Individual development,Artificial selection,A
"Which scientist, in what year, introduced the term “evolution” into science?","Darwin, 1859","C. Bonnet, 1762","Hardy, 1908.","A. Sturtevant, 1902",B
Which evolution is irreversible?,Galactic,Atom ary,Biological,Geological,C
Which of the following works was written by Aristotle?,"“Origin of Animals”, “Parts of the Body of Animals”, “History of Animals”.","“The Origin of Animals”, “Philosophy of Zoology”.","“Parts of the body of animals”, “Philosophy of Zoology”.","""History of Animals"", ""Origin of Species"".",A
Who created the doctrine of modern microevolution?,"R. Virchow, Bonn","Dobryansky, Timofeev-Resovsky",Boveri and Flemming,"Darwin, Morgan",B
Who first introduced the term “population” into genetics?,R. Brown in 1831,J. Purkinye in 1839,W. Johansen in 1903,Boveri in 1842,C
Variation in the number of individuals in a population is an important evolution. Who was the first to notice the importance of this process and what did he call this process?,"Virchow's book ""Cellular Pathology"".","Lamarck ""Philosophy of Zoology""","Aristotle ""History of Animals""","Chetverikov S.S. ""Waves of Life""",D
What do you mean by geographic isolation?,Various obstacles appear in the area due to the fact that the species is divided into several groups,Various obstacles appear in the area. Due to the fact that species can be grouped into several groups.,The same obstacles appear within the area due to the fact that the species is divided into many groups,The same obstacles appear within the area due to the fact that the species live in groups in several groups,A
What species are called species that arose as a result of an increase or decrease in the number of chromosomes.,Anupolyploidy,Autopolyploid,Allopolyploid,Aneuploidy,D
Which years included Darwin's Beagle expeditions?,1830-1835,1800-1805,1836-1941,1831-1836,D
A form of natural selection that determines the preservation of adaptive traits of organisms under constant environmental conditions,Sexual selection,Disruptive selection,Stabilizing selection _ _ _,Stabilizer selection,C
A form of natural selection that favors only one direction of change in a trait and does not favor all others.,Sexual selection,Stabilizer selection,Driving selection,Disruptive selection,C
Who studied the phenomenon of genetic drift (genetic automatic processes)?,Boveri and Flemming 1937-1938,N.P. Dubinin and D.D. Romashev in 1931-32.,"F. G. Dobryansky, N. V. Timofeev-Resovsky 1937-1938","S. Wright, R. Fisher, N. P. Dubinin, D. D. Romashev in 1931-32.",D
"In what countries did Darwin spend five years on the Beagle ship and become acquainted with the flora and fauna of ancient and modern times, being a naturalist?","On the southwest coast of South America, Korea.","In the Atlantic, Pacific and Indian oceans, on many islands, Great Britain.","In the Atlantic, Pacific and Indian oceans, on many islands, in Australia, South Africa.","Australia, South Africa, London",C
What did Darwin discover during his voyage on the Beagle?,He acknowledged that there are many similarities and differences between plants that died in the past and those that are alive today.,He recognized that there are many similarities and differences between existing animals and those that are still alive.,He recognized that there were only many similarities between animals that had died in the past and those that were now alive.,He acknowledged that there are many similarities and differences between animals that died in the past and those that are now alive.,D
"By comparing the animals of North and South America, Darwin determined which South American animals were not found in North America?","Llama, tapir, pendant, anteater, ungulates","Llama, tapir, sloth, fish, armored animals","Llama, tapir, sloth, anteater, armored animals","Llama, tapir, lazy, anteater, artiodactyls",C
What is microevolution?,Diversity refers to the diversity of higher systematic units.,Leads to stratification within a population and to stratification within a species,It is a mutational process that creates the material for genetic diversity and natural selection.,"This is a long-term, irreversible change in the gene pool of a population, which goes in a certain direction.",B
What is macroevolution?,Leads to diversity of systematic units over species.,It occurs within populations and leads to the stratification of the species and its intraspecific diversity.,It is a mutational process that creates the material for genetic diversity and natural selection.,"This is a long-term, irreversible change in the gene pool of a population, which goes in a certain direction.",A
What is an elementary evolutionary phenomenon?,It occurs within populations and leads to the stratification of the species and its intraspecific diversity.,Diversity refers to the diversity of higher systematic units.,"This is a long-term, irreversible change in the gene pool of a population.",It is a mutational process that creates the material for genetic diversity and natural selection.,C
What is the elementary material of evolution?,"This is a long-term, irreversible change in the gene pool of a population, which goes in a certain direction.",The diversity of systematic units above species is indicated.,Mutations because they create material for genetic diversity and natural selection,It occurs within populations and leads to the emergence of a species and its intraspecific diversity.,C
In what year was Lamarck's Philosophy of Zoology published?,1801,1814,1809 g,1812,C
What is the result of natural selection?,Strain,organism,cell,view,D
"What is formed as a result of artificial selection? 1) breed, 2) variety, 3) species, 4) subspecies, 5) population, 6) strain",1.2.3,1.4.6,1.2.5,1.2.6,D
Which scientist expressed the first ideas in the field of embryology?,Lamarck,Aristotle,Theophrastus,Empedocles,B
"A collection of individuals that have existed for a long time within the range of one species and are relatively isolated from others, producing freely interbreeding offspring?",pride,subspecies,Population,view,C
"In ontogenesis, a brief repetition of phylogeny is called....",Biogenetically m law,Cell theory,Law of homologous series,Law of similarity of embryos,A
"What is the name of a group of individuals that are similar in morphological-anatomical, physiological-ecological, biochemical and genetic characteristics, occupying a natural habitat ?",view,Ecological community,Population,Subspecies,A
What is the main factor in the production of new varieties and varieties?,Artificial selection and natural selection,Heredity and variability,"Genetic variability , artificial selection","Genetic variability, natural selection",C
"Which scientist combined species into genera, genus into family, family into orders, order into classes, class into subtypes, subtypes into types?",Lynn to her,Lamarck,Darwin,Theophrastus,A
"Who wrote ""Animal Parts""?",Fales,Hippocrates,Aristotle,Theophrastus,C
What doctrine of change and development takes place in the life of nature and society?,Biology,Device,Biosphere,Evolution,D
At what level of life does biogenic migration of substances occur?,Molecule,Ontogenetic,Biogeosinosis,Biosphere,D
What led to the theory of evolution of the biosphere by scientists.,"Vernadsky, Dubinin, Vavilov","Vernadsky, Vavilov, Turesson","Vernadsky, Sukachev, Tensley","Vernadsky, Chetvernikov, Tansley",C
Darwin explained the evolutionary mechanism and explained the evolution and formation of species. How did this lead to education?,"Adaptation of species, emergence of species","Like artificial selection, natural selection","Stability of the species, emergence of species",Evolutionary theory as an evolutionary doctrine,D
In what year was Darwin's most famous work published?,Appearance of the species 1839,Appearance of the species 1875,Appearance of the species 1851-1854,Appearance of the species 1859,D
Determine the main directions of evolution.,"Degeneration, disguise","Aromorphosis, idioadaptation, degeneration.","Aromorphosis, genetic change, adaptation","Idioadaptation, adaptation, disguise",B
An example of this is the pollination of plants in different ways.,Idioadaptation,Degeneration,Senogenesis,Aromorphosis,A
What is microevolution?,Transition to a system in higher systematic units,Towards evolutionary changes occurring within systematic units above species,Evolutionary changes within a species,The struggle for coexistence within a species and generation,C
What are the main theories of the origin of life? 1) creationism 2) origin of life 3) panspermia 4) biochemical evolution 5) synthetic 6) geocentric 7) heliocentric,"1,3,5,6,7","1,2,3,4","1,3,5,7","2,5,4,6",B
What are the main features of life?,"Self-government, growth and development, reproduction","Self-renewal, self-reproduction, self-regulation","Self-education, development, reproduction","Self-renewal, growth",B
How many chemical elements are in a cell?,60,50,70,80,C
Find the line that lists macronutrients.,"Mg, J, Cr, Co","Zn, C, O, Co","K, Na, Ca, F","C, O, P, Fe",D
Find the line that lists micronutrients.,"Zn, Co, Mn, J","Mo, C, O, Cr","K, Na, Ca, O","Mg, Cl, Fe, Co.",A
"What percentage of the cell mass is made up of the elements H , C , O , N ?",96%,97%,98%,95%,C
What elements ensure the passage of substances through the cell membrane?,"K, Fe","Na, K","Cl, Mg","Fe,Na",B
What element is contained in hemoglobin?,Cl,Na,Fe,Mg,C
What is the percentage of water in the tooth enamel layer?,90%,5%,50%,10%,D
How much water is in a plant cell?,50%,10%,90%,5%,C
What bond exists in a water molecule?,Ionic Garden,Metal garden,Covalent bond,Hydrogen garden,D
What elements are found in bone?,"Ca, S","Mg,Cl","P,Na","P, Ca.",D
What percentage of an organism's cell is made up of organic matter?,30-40%,50-60%,20-30%,40-50%,C
List the amino acids without a ring.,"Arginine, Tyrosine","Tyrosine, Proline","Valine, Tyrosine","Leysine, Lysine",D
Specify ring amino acids.,"Valin, Sistine","Lysine, Arginine","Tyrosine, Tryptophan","Proline, lysine",C
What role does blood protein play?,Hormone,Catalyst,Excitability,Transport,D
How many amino acids are there in natural proteins?,22 different,20 types,40 different,30 different,B
What are the names of proteins that are soluble in pure distilled water?,Denaturation,Renaturation,Globulins,Albumin,D
Find the line that lists the album.,Chromaprotein,Blood protein,Lipoprotein,Egg white,D
How much (%) protein is contained in cotton fiber?,95%,93%,94%,96%,A
What is polyploidy:,Chromosome shortening,Chromosome multiplication,Chromosome separation,Chromosome polarization,B
Which scientist and his students separated a virulent bacterium (S-type) with polysaccharide skin into small pieces?,Miller,Holden,Oparin,Avery,D
What is karyokinesis?,i-RNA formation,Nuclear fission,Cytoplasmic division,Copying chromosomes,B
What are species with separate habitats called?,Sympathetic species,Genetic species,Population types,Allatropic species,D
Species whose habitats merge with each other or are completely compatible with each other?,Sympathetic views,Population types,Allatropic species,Genetic species,A
"What is the evolutionary process that leads to the formation of relatively large, systematic groups of species - new generations, families and families?",Microevolution,Macroevolution,Natural selection,Artificial selection,B
What does the divergence of characters and properties mean in initially close groups of organisms during evolution ?,Degeneration,Convergence,Divergence,Replication,C
What progress (aromorphosis) characterizes the improvement in the evolution of the structure and function of the body?,Aromorphosis,Senogenesis,Idiomatic adaptation,Morphophysiological,D
What is senogenesis?,Historical adaptation,Embryonic adaptation,Postembryonic adaptation,Aromorphosis,B
What useful adaptations arise at certain stages of individual development and then disappear.,Senogenesis,Idiomatic adaptation,Aromorphosis,Morphosiological regression,A
"What substances, the action of which is aimed at enhancing and accelerating the formation and renewal of structural parts of cells, tissues, muscles, appear at the end of embryonic development and prolong embryogenesis?",Replication,Deviation,Senogenesis,Anabolic steroids,D
How does the transfer of a genetic factor from one bacterial cell to another occur when two bacterial cells walk side by side and stick to each other?,Replication,Transduction,Conjugation,Transformation,C
What is the combination of a nitrogenous base and ribose or deoxyribose.,Nucleotide,Nucleoside,Nucleic acid,Protein,B
What happens when a phosphoric acid residue combines with a nucleoside.,Nucleic acid,Protein,Nucleoside,Nucleotide,D
How do nucleotides join together to form a long chain of DNA or RNA?,Open chain,Phosphodiester swamp,Phosphoric acid,Disulfide bond,C
What are the genetic factors that are isolated from chromosomes and are capable of autonomous reproduction.,Retrotransposon,Autonomous plasmid,Plasmids,Transposon,C
Which scientist coined the term “plasmids”?,Avery in 1944,1928 Griffith,In 1889 R. Altmann,Lederberg in 1952,D
When and which scientist isolated a separate substance with acidic properties from the cell nucleus and called it nucleic acid,Altman in 1889,F. Miescher in 1889,Altman in 1879,F. Miescher in 1879,D
"Which scientist introduced the term nucleic acid to science and showed that the nucleus contains purine, pyrimidine and 5 atomic carbons (sugars) from nitrogenous bases in addition to phosphoric acid.",In 1889 R. Altmann,Avery in 1944,1952 Lederberg,1928 Griffith,A
"Which scientist determined that the amount of adenine in the DNA molecule of all organisms always corresponds to the amount of thymine, and guanine to the amount of cytosine?",In 1950 E. Chargaff,In 1889 R. Altmann,1928 Griffith,1952 Lederberg,A
Types of replication indicated by G.Sten in 1957. How does double-stranded replication of a DNA molecule occur?,"Conservative, dispersive","Semi-conservative, dispersive","Conservative, semi-conservative, dispersive","Conservative, semi-conservative",C
Stages of protein biosynthesis?,"Initiation, extension, termination","Increased amino acid activity, initiation, elongation, termination","Increased amino acid activity, elongation, termination","Increased amino acid activity, initiation",B
What do you mean by elongation?,Completion of polypeptide chain formation,Elongation of the resulting polypeptide chain,Exchange and shortening of the polypeptide chain,Initiation of polypeptide chain synthesis,B
What is initiation?,Initiation of polypeptide chain synthesis,Elongation of the resulting polypeptide chain,Completion of polypeptide chain formation,Exchange and shortening of the polypeptide chain,A
What is termination?,Initiation of polypeptide chain synthesis,Elongation of the resulting polypeptide chain,Exchange and shortening of the polypeptide chain,End of polypeptide chain formation,D
How is protein biosynthesis regulated in a cell?,"Inhibitor, suppressor, suppression","Inhibitor, suppressor","Repression, suppression, Inhibitor, suppressor","repression, inhibition",D
